,Atlantic cod,Atlantic herring,Atlantic mackerel,Goosefish,Haddock,Silver hake,Spiny dogfish,Summer flounder,Winter skate,Yellowtail flounder
1940,38739.580110,376187.552600,32036.528840,58675.695440,106194.616500,91418.625500,81253.854800,84802.370180,75127.173360,41384.726710
1941,37013.526830,383357.805100,31218.779690,58217.723550,99423.116230,93698.984280,79456.351160,80683.809550,77461.946280,41454.734760
1942,35508.508510,393924.997700,30479.469720,57844.120380,93767.644360,95094.995330,78307.713000,77258.809370,99516.772490,41507.448250
1943,34188.523960,270844.545200,29717.356080,57538.401860,88975.810960,95944.720240,93255.514250,74407.775150,97129.382090,41547.100750
1944,33024.309780,306573.810400,28896.415180,57287.603840,84866.563520,96502.056830,88443.372270,72031.921570,95667.242420,41576.906450
1945,32039.154710,339433.223900,27251.700340,57081.437230,81306.487530,96975.491680,72107.275930,46894.904390,115495.946200,41599.298160
1946,31201.071910,367063.001900,25066.201360,56911.674050,52128.732460,97307.648950,60543.860080,44303.505150,112199.089800,41616.113060
1947,30479.013580,379323.103400,22549.118770,56771.693040,58118.036450,97255.905360,66764.866180,52078.911110,111130.800900,41628.736130
1948,24579.044530,374483.866900,20152.592850,56656.138030,64352.345300,96795.435450,72479.200540,60359.053610,129363.095000,41638.210130
1949,25738.206950,358337.378500,18220.848180,56560.657320,70742.564210,96123.230280,76954.707310,82478.851540,104805.129500,41645.319400
