"year","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
22,1050685.3326053,382228.084800462,21095.3514328399,25756.7504232201,0,203667.139720754,1866905.53901639,23100.4764565121,0,69183.6612251845,769977.061269214
23,1029621.55832015,394745.786596019,20898.8605458956,24302.9552248006,0,203104.096145399,1796813.21401908,25450.1205252205,0,70342.770243432,640978.897584278
24,1025874.32957566,424595.934348806,21644.6699932772,22359.3661898339,0,198753.688922181,1857104.62080501,26484.7279709342,0,72492.6027701621,531937.032174389
25,1456203.82163561,1322147.14710226,32345.7997535068,18258.2021021627,0,158545.531834419,1733569.40019586,14650.9630215651,0,44686.1971682958,662963.368525469
26,1025685.1169781,1376640.04624282,31840.9184033002,14891.7857398252,0,163966.999153552,2107105.67757572,16641.9898446729,0,47135.8047751216,515273.33707567
27,1014273.896979,1517303.83049258,31888.5664258124,18380.2224558184,0,151943.32211672,1648961.76924712,17988.0084231261,0,45754.1931839843,370725.137251656
28,1068530.64995036,872824.718995991,31187.2849175618,29721.0347889008,0,148892.260305149,1484274.07227092,19290.7066295256,0,45711.8655176849,357250.124069648
29,1098066.89835928,892096.953926564,30853.8360543352,34747.8996640191,0,138328.481688486,1467753.09800941,20509.2808740168,0,45918.7539939906,217776.416400146
30,1361064.34631872,496082.544598967,30900.3905259848,44281.2001481747,0,152024.428231426,1579113.59194241,21613.9778349841,0,45702.5495403478,125572.059614474
31,1115600.30438345,1576.76269645747,30056.4170941813,59787.9836178023,0,172579.096578144,2131581.85791432,22337.6069231419,0,44687.1190969051,154310.036272256
32,1067912.00003115,0,31549.8491373515,34847.017829964,0,170505.562431388,2137523.30013275,182581.658045086,0,45176.5098465241,162489.579556739
33,1208141.55510031,0,30979.9209064552,21809.3344104061,0,155306.354399353,1638001.33286358,128839.262245688,0,45595.8746778165,154980.520694777
34,1003795.9886242,0,30517.547080467,19717.2925380558,0,171594.915232288,1061621.52642791,100166.69198747,0,48097.6883631336,111211.69182317
35,545286.492597798,709957.568693901,30553.6774303544,73734.3591210176,0,183770.176845197,1082606.66247014,96477.4251404521,0,47390.9986198506,90545.8780632376
36,698680.357107713,698413.407176306,32619.97800546,130629.43811175,0,230977.587487704,1509256.24523781,112466.994863661,0,47513.8089587925,80570.6958649119
37,763692.716535737,426409.355346711,35963.1253868922,128993.291817171,0,272651.919966916,1363926.72589711,196619.907724896,0,47614.166173282,87939.1640844297
38,769582.036273452,1189.22698480061,23624.1588354518,173473.19839359,0,300698.860417203,2032395.8345089,296583.890396537,0,98284.8537880122,90978.2034069456
39,906652.530470304,0,27780.0110505446,154787.784753583,0,279589.902697789,2207840.5147965,462731.544178906,0,86783.782366493,87165.0867216868
40,1003743.00206164,0,32030.8998803882,172746.14806543,0,218760.841606626,2217012.93662202,580251.813442363,0,68411.2607226333,78873.5771509114
41,747001.551286544,10280.0996689077,20295.8283439437,137956.507620659,0,224181.588883084,2342243.61384951,636600.353437991,0,36777.092636694,70537.8046186233
42,1083067.65458349,13100.7838357428,25363.0547113554,89142.9327142319,0,260925.038640711,2166255.26803926,567959.502209186,0,35146.0892848885,74305.7895626183
43,1120918.31408117,216818.982785541,41594.1302934875,59563.6736702006,0,221975.414443622,1923846.32905173,535694.404440769,0,56860.0432062109,78868.3247600694
44,1154323.81590785,646316.15660219,29612.2126446946,57506.3594295767,0,257267.232943529,1686941.37347483,462115.247072868,0,40711.2154098544,78886.2679696214
45,1172886.55509173,427271.743052167,34079.1515239823,60107.4896436381,0,278750.564384502,1434038.35052435,281844.859550271,0,34907.3896461045,82625.8440644605
46,883622.602062665,670509.860008485,27088.1356140736,61403.7728377661,0,275125.193404835,1608806.64794276,273179.616447005,0,65381.6304094627,95106.3774592134
47,1146501.30534587,619771.470408962,28091.3407716595,69120.0576732989,0,215663.267108047,1636864.51791711,233217.682502264,0,23148.7059251845,107824.257298273
48,1277127.77963191,2011.98142049119,38409.0470320402,94824.1780471636,0,204527.479117578,1824492.25542522,170773.468045758,0,6351.7532964916,116172.93629754
49,1246931.77037574,8705.98569991048,37813.5991052246,107147.569891077,0,183325.322755225,1904383.20454646,199572.253831459,0,15765.3198677983,126846.816786831
50,1287956.0107387,29.1107213871821,35447.1155382927,147287.697183615,0,145846.801302281,1635044.49673552,160170.414690867,0,25444.0457756594,177953.785194583
51,1354392.67561051,28413.7306512103,29711.3461460355,160374.848276241,0,170055.1533843,1222773.59751378,209820.763602386,0,104169.501725822,178374.611565759
52,1265069.95044584,33740.5197844683,25689.7479306396,119586.884635326,0,166270.606892299,896436.450936045,230616.504985582,0,65013.7766604991,192704.604095663
53,816050.431043903,283375.417417605,22561.2595160255,120389.336217474,0,178804.055926041,839211.058989938,252554.279218905,0,42744.5414415641,183452.120288436
54,687463.689008749,331415.158178037,25038.6745360918,138936.950508984,0,191804.956517169,902394.864285967,242325.867267758,0,31797.4452528894,208451.013487779
55,130216.653601622,500485.846484452,25787.6813555956,157690.882087604,0,195149.553434359,1035217.02313921,181466.853347048,0,39586.8647114173,194749.174082617
56,460764.992862828,308961.876520098,31194.8029786936,154194.36860772,0,177046.75718676,1008020.91394722,161309.684998476,0,43865.7182273779,194610.609557143
57,747152.410132449,166824.7067924,33015.6019901546,92828.8805041406,0,172316.689925885,1212466.2107685,144411.826146744,0,34287.7946801164,155580.896223743
58,1157731.08357634,76697.504888612,33237.8350941165,79111.8649464337,0,243182.814888219,1332270.2905187,107532.675046679,0,27614.0093632747,151253.469910272
59,1093268.15625711,279274.864764202,33445.4277168829,87599.4506079085,0,213985.959670722,1235429.85464876,82720.0589042626,0,59824.977556487,163346.189714052
60,1004507.60039539,115961.973633037,65140.9994492785,54076.8359755081,0,164647.402025506,1457497.04104125,161077.030057495,0,82247.4259969116,32699.9622608926
61,987254.86131866,123692.197073097,64277.5026964113,61978.9010390071,0,167418.412521545,1411528.00062856,164704.08576903,0,81944.3407391644,40185.668664267
62,981686.200789831,140522.843764283,60415.382740658,66120.5136541012,0,166510.981764461,1420850.03067299,170191.820629641,0,83119.8477254876,48301.2437335514
63,964631.530854439,140649.287261472,60376.13807176,68337.1837773382,0,166383.562773366,1396581.37967885,171019.909562282,0,80951.5978234508,57339.1703652073
64,958292.951298497,120999.45426874,58980.4556172601,70840.6716689155,0,165369.21234125,1398730.03919862,174439.589371163,0,80303.0778955043,68466.8007608961
65,958548.859914038,89261.0359185259,57509.9502871565,102936.85861417,0,169567.689653995,1380802.489707,167218.651917392,0,81932.1622618469,80196.3192322121
66,950750.742807887,73085.3536784522,56306.1048305387,124427.850843168,0,170856.030777722,1403730.71809507,162832.952024798,0,78195.4309516756,94863.0826738218
67,934075.621649397,97524.9712677528,56717.936812645,139628.970836363,0,166517.450281497,1400507.61534719,158964.382275505,0,80831.551207906,109672.477113612
68,946597.466644548,104586.619602269,57114.6378925752,146441.499119502,0,169188.400152132,1364915.76126766,154004.630412962,0,77004.8851993022,127738.590649994
69,948946.824697191,94960.7023476246,56283.2878651349,134886.722678059,0,169327.236527127,1398054.52402942,143775.294992071,0,77482.1521163983,148571.264287207
70,942126.382570486,131377.17277704,55995.5489418169,122452.656562698,0,171535.078548686,1407438.3028059,135996.322521182,0,76821.4593334921,166062.504684087
71,951811.5386899,130277.272480588,56612.5993486464,106630.694747807,0,167613.070177581,1379447.38670151,135113.739017626,0,82788.5742742478,192781.327180481
72,955025.089036228,93506.31953977,55844.98051435,95355.7673442087,0,169171.009352845,1413169.37966558,135677.383656947,0,81626.2422238109,213581.622837456
73,953684.415356262,109422.266037187,55960.811853325,87376.273386443,0,169904.531561909,1402225.22381619,127609.803465049,0,83270.6161716816,245646.674097896
74,945150.144840495,149659.723190143,54787.6973167017,78161.5965021561,0,170770.098514534,1385500.37043341,122641.116897161,0,84072.5453617336,271306.426854227
75,962218.011098534,135810.623211375,56134.676562997,83537.7561495604,0,169876.075796705,1356505.39923521,119463.194201498,0,78441.3980996115,299275.096857282
76,971209.029111152,100782.134833614,55541.3469132091,139997.693778493,0,169845.094686197,1380442.46620269,111572.08585805,0,80063.9382434782,328928.717646812
77,958940.531361728,127807.493337206,55497.6293459935,183428.764253912,0,172727.297006444,1355009.78551955,105598.579163726,0,78914.1770402238,345742.000284626
78,952439.721800338,124274.586394133,54095.7335682593,206113.183611794,0,173093.541355348,1398231.67035243,96210.8222979601,0,78276.1410497571,363226.507831761
79,964877.946358027,112011.746007843,54334.5200727672,217565.565096224,0,172663.810600465,1335317.84088544,86194.2638571667,0,79040.9537966399,385665.024009271
80,950014.717151519,131529.007496801,54342.1764646671,200994.241755512,0,172735.339529181,1310642.82151237,75322.2241318374,0,75518.4839580347,397628.02979467
81,950833.616743603,127552.157539093,54611.1986637017,181766.022118509,0,174085.214714222,1362868.4939314,65049.4381994631,0,77810.714972331,413678.078916181
82,957623.675637457,107709.911436291,55073.0407503366,154912.096917872,0,172925.513324019,1344336.74725082,52751.8789639394,0,78511.8083408467,430908.988222079
83,953911.677429792,131465.356693461,54228.4514871345,137936.097455432,0,171086.388478982,1337924.31703775,44300.7709623298,0,79077.8938762034,439408.67190834
84,948415.264329322,133915.854883993,54824.2160227325,123586.626324856,0,169570.861105947,1319577.81596557,35948.8821344301,0,79953.3155385062,464646.124961318
85,948899.212988439,119324.17533875,53986.3510021685,110258.368357815,0,171552.757988486,1301845.75630911,30899.5622758622,0,83628.953146354,481411.631783243
86,956903.469767332,99749.827361808,54427.1470887861,102858.196293354,0,172432.85963934,1316659.45562388,27986.226832169,0,80480.5463588415,495923.801443733
87,960140.198290294,107288.928635089,54961.9196600013,94100.7538448671,0,174527.803655131,1332685.68007561,23873.9346661879,0,82849.9174497735,523183.914472133
88,960569.292342223,145934.168903724,54598.5448003368,85505.4554102614,0,174332.453717961,1346305.28103303,19847.8831128903,0,82518.336505378,532860.181050566
89,967795.467920304,142111.273831234,53826.9264395616,91551.3516356189,0,175241.869563858,1331185.84207474,16341.4772916466,0,80797.9648223557,554405.321092363
90,981238.37943435,107348.953414517,55006.2838740154,95148.7052786562,0,174933.732858287,1353824.0072959,12829.1417499274,0,80815.3725940034,550994.687085856
91,953983.094974083,119452.013299299,55171.9853502822,97296.3999988119,0,173637.295602474,1372961.03723155,9761.51687116736,0,79806.1036013322,562238.035059305
92,960156.79065015,140028.067652018,55752.451070995,94969.5093717365,0,174645.679753426,1376003.38335423,7810.33583990696,0,85063.8584130721,566686.285653432
93,958511.185207812,123943.532728125,55603.6213308245,86875.1022288762,0,176068.653339429,1386234.80014288,6021.99043051385,0,83513.3320037272,582260.23186869
94,957856.708158193,127287.343438391,55577.5151591085,80792.824041561,0,170698.879087142,1413616.29217855,4752.16248854301,0,82211.4756346665,581516.614521796
95,944013.278456058,149475.091460085,54739.0643319564,71452.1515157537,0,171727.614391511,1389919.3913506,5743.27702914941,0,79693.850824119,582917.782173021
96,944748.072335944,122107.037662002,55449.6231576258,65936.9227646537,0,169836.661497549,1374137.26024734,6292.81769442522,0,80021.5663558415,591069.268601395
97,965987.536282878,96076.4575037977,54568.4791566104,61601.9488373144,0,170024.668388913,1385366.03649204,4643.91830712383,0,80226.5541698225,589318.948453538
98,958467.12846717,88681.6411581039,54327.2786204866,58304.3876268616,0,172066.166256917,1358518.40909663,3042.9109230465,0,82438.3946353173,584346.835545789
99,945342.645995274,90809.9230080957,55007.0146444758,52760.8036035267,0,170875.87353394,1364915.56592795,1986.62118408068,0,83427.9051291527,593616.51131778
100,936934.141379313,114430.339337864,54600.83900105,48575.2706528563,0,174606.602686834,1409478.65977872,1538.54268869837,0,82236.0857447927,608216.642095931
101,968368.142732618,123410.085154305,55681.1004003602,43929.1999943163,0,177095.090328105,1371014.31138055,1287.66035656993,0,80861.4870096031,607068.533146755
102,953505.931781688,113452.454911147,54153.621525892,40232.8238668589,0,177461.07271838,1327669.68533096,1070.9179525063,0,83627.9843787218,637700.93562895
103,968504.506297352,109076.816151053,54168.4131822552,36891.5845485048,0,174733.503710589,1354028.5487553,979.058027289705,0,84251.4535935101,626145.757847524
104,955413.147218547,114728.128903478,53894.7655270256,35306.1104077861,0,175618.612133921,1364880.68524783,1503.2153959045,0,83277.0344098201,629856.870039708
105,953789.792888647,119963.012914821,53589.6119747913,34652.6909823014,0,178240.577952119,1351946.35814084,1597.21296355629,0,83976.0701352837,638285.359122107
106,942427.618582261,120810.64587848,54901.4857543011,35148.3170666839,0,173784.469796361,1357949.86776861,987.523579689792,0,83225.8759530965,638896.751580899
107,965540.195916187,132891.662935948,54238.6278868655,34704.6830344709,0,172572.622041138,1341210.04071895,640.38429797322,0,87382.8728388856,628602.278892769
108,958390.201306657,128724.972668619,54560.8948458541,34253.4722090493,0,174024.486002705,1334140.87899492,592.221075125269,0,88132.088179141,633381.141811002
109,947877.060561519,108602.229193266,54173.313975349,34308.2932864337,0,170800.81756678,1313981.30684864,582.301031694641,0,86536.9515416119,620558.199718189
110,958085.18150391,114513.481723351,54227.9445998472,39237.9386149726,0,168872.663092279,1349921.30921848,480.69757211123,0,86176.5189582222,638413.241063281
111,966649.974547064,145346.027014644,53794.9421468148,65435.9280632492,0,168244.774081162,1358074.02882548,354.801896094324,0,85824.4487845773,628807.705939875
