year,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
34,687463.689,331415.1582,25038.67454,138936.9505,0,191804.9565,902394.8643,242325.8673,0,31797.44525,208451.0135
35,130216.6536,500485.8465,25787.68136,157690.8821,0,195149.5534,1035217.023,181466.8533,0,39586.86471,194749.1741
36,460764.9929,308961.8765,31194.80298,154194.3686,0,177046.7572,1008020.914,161309.685,0,43865.71823,194610.6096
37,747152.4101,166824.7068,33015.60199,92828.8805,0,172316.6899,1212466.211,144411.8261,0,34287.79468,155580.8962
38,1157731.084,76697.50489,33237.83509,79111.86495,0,243182.8149,1332270.291,107532.675,0,27614.00936,151253.4699
39,1093268.156,279274.8648,33445.42772,87599.45061,0,213985.9597,1235429.855,82720.0589,0,59824.97756,163346.1897
40,1004507.6,115961.9736,65140.99945,54076.83598,0,164647.402,1457497.041,161077.0301,0,82247.426,32699.96226
41,987254.8613,123692.1971,64277.5027,61978.90104,0,167418.4125,1411528.001,164704.0858,0,81944.34074,40185.66866
42,981686.2008,140522.8438,60415.38274,66120.51365,0,166510.9818,1420850.031,170191.8206,0,83119.84773,48301.24373
43,964631.5309,140649.2873,60376.13807,68337.18378,0,166383.5628,1396581.38,171019.9096,0,80951.59782,57339.17037
44,958292.9513,120999.4543,58980.45562,70840.67167,0,165369.2123,1398730.039,174439.5894,0,80303.0779,68466.80076
45,958548.8599,89261.03592,57509.95029,102936.8586,0,169567.6897,1380802.49,167218.6519,0,81932.16226,80196.31923
46,950750.7428,73085.35368,56306.10483,124427.8508,0,170856.0308,1403730.718,162832.952,0,78195.43095,94863.08267
47,934075.6216,97524.97127,56717.93681,139628.9708,0,166517.4503,1400507.615,158964.3823,0,80831.55121,109672.4771
48,946597.4666,104586.6196,57114.63789,146441.4991,0,169188.4002,1364915.761,154004.6304,0,77004.8852,127738.5906
49,948946.8247,94960.70235,56283.28787,134886.7227,0,169327.2365,1398054.524,143775.295,0,77482.15212,148571.2643
50,942126.3826,131377.1728,55995.54894,122452.6566,0,171535.0785,1407438.303,135996.3225,0,76821.45933,166062.5047
51,951811.5387,130277.2725,56612.59935,106630.6947,0,167613.0702,1379447.387,135113.739,0,82788.57427,192781.3272
52,955025.089,93506.31954,55844.98051,95355.76734,0,169171.0094,1413169.38,135677.3837,0,81626.24222,213581.6228
53,953684.4154,109422.266,55960.81185,87376.27339,0,169904.5316,1402225.224,127609.8035,0,83270.61617,245646.6741
54,945150.1448,149659.7232,54787.69732,78161.5965,0,170770.0985,1385500.37,122641.1169,0,84072.54536,271306.4269
55,962218.0111,135810.6232,56134.67656,83537.75615,0,169876.0758,1356505.399,119463.1942,0,78441.3981,299275.0969
56,971209.0291,100782.1348,55541.34691,139997.6938,0,169845.0947,1380442.466,111572.0859,0,80063.93824,328928.7176
57,958940.5314,127807.4933,55497.62935,183428.7643,0,172727.297,1355009.786,105598.5792,0,78914.17704,345742.0003
58,952439.7218,124274.5864,54095.73357,206113.1836,0,173093.5414,1398231.67,96210.8223,0,78276.14105,363226.5078
59,964877.9464,112011.746,54334.52007,217565.5651,0,172663.8106,1335317.841,86194.26386,0,79040.9538,385665.024
60,950014.7172,131529.0075,54342.17646,200994.2418,0,172735.3395,1310642.822,75322.22413,0,75518.48396,397628.0298
61,950833.6167,127552.1575,54611.19866,181766.0221,0,174085.2147,1362868.494,65049.4382,0,77810.71497,413678.0789
62,957623.6756,107709.9114,55073.04075,154912.0969,0,172925.5133,1344336.747,52751.87896,0,78511.80834,430908.9882
63,953911.6774,131465.3567,54228.45149,137936.0975,0,171086.3885,1337924.317,44300.77096,0,79077.89388,439408.6719
64,948415.2643,133915.8549,54824.21602,123586.6263,0,169570.8611,1319577.816,35948.88213,0,79953.31554,464646.125
65,948899.213,119324.1753,53986.351,110258.3684,0,171552.758,1301845.756,30899.56228,0,83628.95315,481411.6318
66,956903.4698,99749.82736,54427.14709,102858.1963,0,172432.8596,1316659.456,27986.22683,0,80480.54636,495923.8014
67,960140.1983,107288.9286,54961.91966,94100.75384,0,174527.8037,1332685.68,23873.93467,0,82849.91745,523183.9145
68,960569.2923,145934.1689,54598.5448,85505.45541,0,174332.4537,1346305.281,19847.88311,0,82518.33651,532860.1811
69,967795.4679,142111.2738,53826.92644,91551.35164,0,175241.8696,1331185.842,16341.47729,0,80797.96482,554405.3211
70,981238.3794,107348.9534,55006.28387,95148.70528,0,174933.7329,1353824.007,12829.14175,0,80815.37259,550994.6871
71,953983.095,119452.0133,55171.98535,97296.4,0,173637.2956,1372961.037,9761.516871,0,79806.1036,562238.0351
72,960156.7907,140028.0677,55752.45107,94969.50937,0,174645.6798,1376003.383,7810.33584,0,85063.85841,566686.2857
73,958511.1852,123943.5327,55603.62133,86875.10223,0,176068.6533,1386234.8,6021.990431,0,83513.332,582260.2319
74,957856.7082,127287.3434,55577.51516,80792.82404,0,170698.8791,1413616.292,4752.162489,0,82211.47563,581516.6145
75,944013.2785,149475.0915,54739.06433,71452.15152,0,171727.6144,1389919.391,5743.277029,0,79693.85082,582917.7822
76,944748.0723,122107.0377,55449.62316,65936.92276,0,169836.6615,1374137.26,6292.817694,0,80021.56636,591069.2686
77,965987.5363,96076.4575,54568.47916,61601.94884,0,170024.6684,1385366.036,4643.918307,0,80226.55417,589318.9485
78,958467.1285,88681.64116,54327.27862,58304.38763,0,172066.1663,1358518.409,3042.910923,0,82438.39464,584346.8355
79,945342.646,90809.92301,55007.01464,52760.8036,0,170875.8735,1364915.566,1986.621184,0,83427.90513,593616.5113
80,936934.1414,114430.3393,54600.839,48575.27065,0,174606.6027,1409478.66,1538.542689,0,82236.08574,608216.6421
81,968368.1427,123410.0852,55681.1004,43929.19999,0,177095.0903,1371014.311,1287.660357,0,80861.48701,607068.5331
82,953505.9318,113452.4549,54153.62153,40232.82387,0,177461.0727,1327669.685,1070.917953,0,83627.98438,637700.9356
83,968504.5063,109076.8162,54168.41318,36891.58455,0,174733.5037,1354028.549,979.0580273,0,84251.45359,626145.7578
84,955413.1472,114728.1289,53894.76553,35306.11041,0,175618.6121,1364880.685,1503.215396,0,83277.03441,629856.87
85,953789.7929,119963.0129,53589.61197,34652.69098,0,178240.578,1351946.358,1597.212964,0,83976.07014,638285.3591
86,942427.6186,120810.6459,54901.48575,35148.31707,0,173784.4698,1357949.868,987.5235797,0,83225.87595,638896.7516
87,965540.1959,132891.6629,54238.62789,34704.68303,0,172572.622,1341210.041,640.384298,0,87382.87284,628602.2789
88,958390.2013,128724.9727,54560.89485,34253.47221,0,174024.486,1334140.879,592.2210751,0,88132.08818,633381.1418
89,947877.0606,108602.2292,54173.31398,34308.29329,0,170800.8176,1313981.307,582.3010317,0,86536.95154,620558.1997
90,958085.1815,114513.4817,54227.9446,39237.93861,0,168872.6631,1349921.309,480.6975721,0,86176.51896,638413.2411
91,966649.9745,145346.027,53794.94215,65435.92806,0,168244.7741,1358074.029,354.8018961,0,85824.44878,628807.7059
92,955281.457,128206.1049,53589.18304,83531.88239,0,166963.1127,1350578.389,291.2170213,0,91507.52368,636126.3747
93,949657.5803,122105.3574,54921.31507,97597.00594,0,164843.5023,1363640.411,483.8061111,0,92604.64448,624664.7126
94,966700.0838,129631.4013,53799.58366,104567.8699,0,165278.6543,1376621.63,759.4866129,0,89835.50658,626662.8096
95,953932.7882,127078.4279,54371.03741,102425.9357,0,168358.1552,1390690.514,1100.263537,0,93651.95656,639130.562
96,946812.0707,129463.6169,52845.65737,104483.0558,0,166560.5501,1358505.455,1554.275682,0,92314.28833,641492.7248
97,938924.8207,110023.1581,53278.02977,104558.1199,0,164682.6383,1389698.927,2145.105862,0,94185.30413,647042.4492
98,970575.0003,86168.58676,53500.17732,105699.0871,0,165668.0638,1356847.973,2713.415722,0,91548.8656,655956.4864
99,951278.4681,120641.6967,53599.90072,105102.7979,0,166601.8768,1357311.004,3572.301325,0,92844.066,639850.0567
100,946098.3788,143124.8749,53163.5005,99701.42273,0,165665.2134,1352862.771,4270.94582,0,91682.25997,658277.6262
101,943083.5659,129932.8872,54589.00889,95983.18617,0,163479.9599,1371134.361,4971.660497,0,92012.14826,652677.8188
102,961682.9048,125723.3924,53907.07579,96946.42475,0,168635.5228,1347384.025,5929.557319,0,92789.15575,660448.5668
103,959363.9784,133860.783,53667.69648,97427.23701,0,164545.5862,1354122.216,6655.566493,0,98261.70238,668696.6193
104,974348.6862,150898.6936,53475.49755,98229.20858,0,159895.9806,1382570.62,7634.962549,0,96876.50182,678792.9785
105,953390.5174,153578.5289,53479.52478,110095.9385,0,163661.7264,1335145.804,8249.073617,0,99085.20053,684827.3077
106,956625.4672,134611.1799,53962.16999,113955.6485,0,164192.0876,1410526.753,9267.037731,0,97245.12939,678830.6487
107,952116.6285,145291.1207,54799.79997,120684.0108,0,161235.1215,1407592.639,10896.89225,0,92406.61014,689168.1059
108,954490.486,148780.1397,53263.47879,123131.2292,0,164502.3793,1406884.04,12315.7051,0,93607.12192,680868.7588
109,977688.2902,107796.1299,53523.73297,122116.5503,0,165478.7879,1405289.819,13404.23176,0,89753.38621,696151.9619
110,968764.0538,112360.2095,52925.51163,120346.2211,0,164708.7608,1361281.827,13576.86168,0,92290.05561,693096.6356
111,955387.8377,140225.9096,53169.0035,119308.174,0,168364.3337,1364565.288,13928.95862,0,89000.19368,688844.5093
112,962342.9119,126788.3657,53491.25399,119897.3378,0,164875.439,1374614.458,14350.07201,0,91839.02936,691742.4989
113,951250.3724,119839.1018,52687.9674,122102.61,0,164757.5854,1396528.983,14959.56936,0,91787.82632,701582.1675
114,947925.1655,114122.1275,54247.95262,129357.8557,0,167121.142,1385446.476,15783.40948,0,89397.31664,709388.787
115,957511.5725,112704.186,53997.60264,137774.3273,0,164155.7299,1350796.08,18076.11147,0,85842.81743,696890.3122
116,933564.7461,152892.5008,53636.92801,143858.2161,0,163669.8079,1387558.573,20179.00891,0,87284.04582,710340.621
117,932620.138,177050.7365,53942.10114,143822.4539,0,163542.6527,1390527.8,22300.89098,0,87353.90043,706305.4766
118,938224.2776,140398.2915,53250.55149,153281.7753,0,162645.4398,1411367.889,23799.78979,0,82494.84491,706773.1766
119,930452.9281,128683.0177,54322.62923,154438.0791,0,157949.0352,1399895.109,23611.81345,0,84661.43946,702579.881
120,914577.9939,109469.0825,53767.77156,159967.0151,0,161015.5184,1390895.354,22341.70168,0,80511.60735,712997.7612
121,916434.4122,117332.4759,54195.21695,163409.5677,0,160987.9544,1351586.26,21865.21707,0,82912.55959,710228.0288
122,911716.8243,135317.8513,53835.15038,175661.707,0,158437.9978,1423924.186,22203.66676,0,86428.14985,703581.063
123,922311.3941,123045.6402,53927.75345,191370.0115,0,160244.4941,1384375.579,22440.07039,0,76819.14348,718170.4664
124,895739.3517,131061.9488,52302.06474,201260.9721,0,164427.6503,1401876.176,23567.14458,0,79769.40531,711752.6272
