"year","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
90,6305764.1790232,3355054.5771499,836541.057862251,655568.650994044,1744664.01188292,5237026.44205159,5869208.39939254,154168.289570038,4306501.93021849,3109636.8338811,12893468.3469732
91,7245901.75703673,4691422.48981674,870096.258491973,730607.477398076,1567793.9695918,5717484.42783146,5731264.00363669,90990.9799188412,4259507.21184288,2589252.17931925,15514379.0020483
92,7353507.45848836,6475910.75740616,829236.563185428,676923.404154535,1453466.92470575,4472675.72302629,5952072.6825608,92490.7181743992,3696387.42458991,3596782.45452108,13495946.9786171
93,5764502.47244443,3217991.54693993,764106.361900798,647217.680416257,1691283.35088572,3982801.83940784,6914524.99417538,67445.304480539,4321127.99005119,3132108.17559105,15983973.9016657
94,7266090.28291318,5343562.94250935,757417.067868332,488539.778472425,1514318.58712865,4906452.70217641,6237075.14378368,47077.2633725237,4595987.59438793,3146499.25792506,13420380.8324052
95,5553446.14461577,5345676.14944836,892083.554163951,478299.081401187,1674565.32018492,5566111.39611302,5368721.39424388,66337.0778594178,3666559.14583394,3591448.02673542,14329592.7205459
96,6549270.30322046,3770810.06000658,858436.737667596,485199.680242562,1556867.45528084,5794549.01557951,5026729.47535392,59349.3462492893,3449422.46836771,2928584.36381127,12244087.4153315
97,6274510.1695674,3557210.04964743,973110.412316019,367636.392591936,1920934.2525359,4193627.94226942,4727583.94450369,46841.5162966828,3967522.18129643,3062670.21920441,15707015.8769521
98,6818819.13913923,3283605.43743589,956755.872136685,356013.413647267,1660425.89246143,5094217.59508176,5381441.62095155,30716.6822414614,4612076.63269719,3144411.08361391,13875435.5327179
99,6693142.75482846,2694414.06145197,939996.707338982,364788.613751774,1628886.0186938,4843375.43855668,5063378.89785288,21600.321993357,4400100.21967089,3154795.18873718,13544434.4380102
100,7512271.92915332,4037208.72289653,851309.842771873,321948.150824325,1523666.08164741,5574409.08366453,5268996.08781696,18577.6751031696,3881873.1134246,3129481.2371961,18281249.2670495
101,7166944.18325729,4884187.49506537,1031113.05986309,243346.156655106,1739103.22434803,4308799.45352911,5798002.83962728,17276.7180521135,3603461.03037722,3106334.966525,15213696.2416046
102,6669877.32734045,3358316.13676289,840207.592923668,302999.473986304,1974620.29423039,4711516.31472636,4630346.41815651,10784.3735655247,5065521.16634252,3455036.79407127,14567058.8846792
103,6814805.79607278,4189295.07258716,871254.016915676,268634.977800211,1479594.06487338,4718075.95471996,5314224.59664961,10555.7968621378,4843383.30633726,3137060.02063203,14921383.2508725
104,6857902.49501276,3372338.20146655,843053.073536468,222105.152012086,1620625.7762254,5240497.25189457,4777777.87619415,17290.424415617,4664386.82808745,3185153.46722613,14681037.7389482
105,6743760.68820321,5116111.91268694,1125231.07780844,267323.334093408,1390723.40747071,5499603.16939299,7447543.38726905,17925.4769104678,4353654.17062561,3133558.767966,16132167.7841091
