,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
1942,7058340.115000,4681093.534000,1177672.559000,409046.150100,1405781.069000,5136847.517000,4946829.106000,1622147.252000,5879367.355000,2619648.556000,1021883.612000
1943,6949664.592000,6003271.015000,1073394.627000,462794.099800,1485232.053000,5656127.471000,5502262.049000,1749208.833000,4100568.715000,3022542.972000,1385149.584000
1944,6624041.389000,5331219.222000,903714.732900,449282.809900,1530721.620000,4528695.620000,5311957.587000,1998262.441000,4350263.048000,3076596.146000,1319395.068000
1945,7504137.284000,3730279.826000,1168477.483000,434961.215500,1428260.655000,4816636.617000,5392329.062000,1580795.641000,4046568.879000,3195824.939000,1763420.267000
1946,6794469.956000,3198724.342000,1013812.221000,772093.304400,1684711.202000,6073019.347000,5829811.145000,2017782.084000,4039584.879000,3584640.148000,1934888.914000
1947,5979819.635000,2358900.137000,906104.095900,847028.318500,1714927.737000,4757505.311000,6591142.474000,1897401.596000,4307134.731000,3354746.066000,2359159.620000
1948,6660774.575000,4180882.220000,916844.480800,965389.287100,1495247.798000,4550002.364000,5738765.733000,1642622.448000,3676526.304000,2845380.228000,2827605.584000
1949,7471104.396000,4029746.420000,951701.314600,893940.342900,1712794.995000,4634918.632000,4932070.600000,1274595.894000,4033860.785000,2923500.147000,2769134.969000
1950,7844730.226000,3344064.928000,1011429.117000,1007215.411000,1559770.494000,5253611.317000,5852651.535000,1618434.232000,4407105.368000,3500723.660000,3621269.412000
1951,6705834.868000,5627473.548000,966792.786800,749492.363800,1676527.109000,4967531.212000,5881007.400000,1520337.364000,4353511.107000,2853437.967000,3982257.679000
1952,6274325.522000,3997998.177000,806324.471100,695855.853400,1651184.387000,4492476.345000,5094861.683000,1742777.847000,4548482.775000,2941821.629000,4919290.635000
1953,6519749.773000,3058686.811000,885350.168700,656861.081600,1483971.703000,4891106.762000,5005718.189000,1486023.617000,4625970.893000,2905967.412000,4246106.903000
1954,6007143.199000,3543927.742000,744563.686200,482573.214000,1579884.128000,4319459.559000,5551897.687000,1255382.593000,3843331.804000,3632389.671000,7277343.918000
1955,6325005.062000,5486852.595000,871259.487600,512412.812800,1612741.798000,4672294.048000,5996839.366000,1414601.041000,4341390.451000,2751522.244000,6229801.412000
1956,5927952.708000,4755800.891000,1003194.003000,573767.841300,1528642.975000,5574582.203000,5722788.955000,1408236.719000,4856310.523000,2853664.391000,6867135.955000
1957,7755031.051000,3767519.246000,869476.925800,1131435.960000,1762842.984000,4632886.534000,4442446.795000,886663.068200,5487570.907000,2851605.265000,7983697.145000
1958,6608714.846000,4879225.374000,955498.656300,1526912.501000,1397083.586000,4684632.944000,5133532.120000,1029966.141000,4285166.257000,2938420.233000,9838998.683000
1959,7274489.805000,4656382.694000,890494.230800,1599344.047000,1684535.650000,4521907.577000,5514528.026000,1117592.441000,4609734.536000,2953450.791000,9191264.934000
1960,6254891.416000,4083769.998000,833889.996500,1448252.150000,1260988.196000,5232555.068000,6121027.592000,839828.867500,4895080.094000,3098468.015000,8881486.826000
1961,5836394.874000,5147474.429000,917346.546000,1357397.750000,1820500.976000,4885778.881000,6328850.578000,1013586.972000,5139246.199000,2865518.909000,10375227.210000
1962,7460387.023000,4049795.638000,953851.500800,1152617.593000,1359227.857000,4661598.926000,5109325.692000,667508.786400,4462355.207000,2795893.077000,8797724.874000
1963,6270292.519000,4042987.453000,1003386.885000,922627.574600,1733568.059000,4625370.970000,5435863.073000,482410.866900,4168859.754000,2768882.533000,11813436.130000
1964,6473389.299000,5259898.950000,795189.458200,1042689.646000,1509887.075000,5050937.773000,4829758.346000,566117.666500,4812999.904000,3374143.182000,10942143.740000
1965,6083537.950000,4463346.890000,813099.403700,808061.950900,1675857.735000,4876659.078000,4950619.736000,306322.631300,4885597.206000,2440950.548000,10551278.210000
1966,7060648.303000,4350549.847000,956632.950600,769792.510500,1452857.671000,5146901.477000,4995950.144000,301385.938000,5093338.927000,2473894.035000,12596010.610000
1967,6994402.128000,3595531.001000,856903.529300,661535.369000,1480886.009000,4809804.982000,4276123.423000,289073.291500,4100527.267000,3109429.318000,13069047.850000
1968,7183887.899000,3591196.952000,937539.554300,592115.994100,1341680.759000,5606798.323000,4483670.886000,307205.649900,4963941.714000,3676873.827000,13640563.440000
1969,6246115.160000,6534555.515000,806405.628200,493748.245400,1748275.047000,5055336.208000,5188961.692000,232862.417800,4871064.535000,3835050.471000,11668292.120000
1970,6653961.831000,4417066.430000,709212.449300,673293.285300,1694568.662000,4331201.516000,4637232.238000,218674.546200,4513022.480000,2858758.622000,13302225.550000
1971,6305764.179000,3355054.577000,836541.057900,655568.651000,1744664.012000,5237026.442000,5869208.399000,154168.289600,4306501.930000,3109636.834000,12893468.350000
1972,7245901.757000,4691422.490000,870096.258500,730607.477400,1567793.970000,5717484.428000,5731264.004000,90990.979920,4259507.212000,2589252.179000,15514379.000000
1973,7353507.458000,6475910.757000,829236.563200,676923.404200,1453466.925000,4472675.723000,5952072.683000,92490.718170,3696387.425000,3596782.455000,13495946.980000
1974,5764502.472000,3217991.547000,764106.361900,647217.680400,1691283.351000,3982801.839000,6914524.994000,67445.304480,4321127.990000,3132108.176000,15983973.900000
1975,7266090.283000,5343562.943000,757417.067900,488539.778500,1514318.587000,4906452.702000,6237075.144000,47077.263370,4595987.594000,3146499.258000,13420380.830000
1976,5553446.145000,5345676.149000,892083.554200,478299.081400,1674565.320000,5566111.396000,5368721.394000,66337.077860,3666559.146000,3591448.027000,14329592.720000
1977,6549270.303000,3770810.060000,858436.737700,485199.680200,1556867.455000,5794549.016000,5026729.475000,59349.346250,3449422.468000,2928584.364000,12244087.420000
